350;462;349;440;415;415;390;333;345;392;358;433;235;267;233;278;244;242;291;316;299;382;339;321;332;246;243;243;242;328;247;264;238;269;243;268;252;254;255;266;230;304;221;273;255;227;256;268;249;270;
6468;6370;6465;7591;6060;5975;6748;6307;6244;6009;6452;6268;6159;6076;6192;6173;6240;6100;6210;6283;6108;5974;6204;6184;6236;6138;6057;6213;6214;6153;6264;6200;6095;6198;6233;6122;6155;6259;6047;6176;6293;5959;6147;6133;6248;6146;6130;6036;6298;6311;
33233;32577;33721;33589;33426;33400;33433;32734;33570;33749;33709;34144;33632;33170;33355;34127;33289;33209;34109;33570;36102;32949;33248;33442;33744;33436;33255;33783;34096;33219;33544;33241;33676;33613;33626;33505;33631;33432;33425;33906;33365;33169;33291;33495;33141;33421;33233;33689;33437;32997;
108907;107152;107426;108434;108441;107574;107528;108147;108827;107704;108029;107752;108153;106937;107415;106807;107314;108052;107075;107246;106327;107884;107471;106803;107223;107520;107217;107499;106174;105902;106640;106048;105617;105623;106882;107159;106349;105774;105755;105306;105155;105820;106257;105757;104778;105580;105986;106213;105922;105356;
264215;261692;266096;262833;264888;261396;263250;264200;262550;264946;265137;261026;265205;263433;259058;261932;263038;266425;261485;260778;260702;262787;261986;261335;262234;260659;260071;258847;260187;263172;259430;259768;258967;260219;261138;261443;259942;259961;266197;259450;259309;258486;260852;258276;258464;259307;258348;260036;257847;259654;
547733;548395;548163;552317;547082;551439;565800;552347;552565;552078;549925;554513;553871;548807;548655;553542;553679;554369;547765;551960;548211;546704;550531;548240;548743;543983;547034;551585;546074;547431;545418;545711;551007;548892;549083;544679;546834;542728;545809;542677;542542;541683;541670;539197;543609;541502;543475;540737;540871;542631;
998411;998335;999911;996198;995391;992528;1003503;991534;996151;997787;985186;998551;1001810;986813;991481;990450;997586;991813;985138;984944;991208;986601;996747;991900;990854;990628;994028;988153;987535;990688;983140;986582;988946;990578;991704;979806;987390;986965;990759;992765;987376;988181;984438;990090;987902;991833;984312;991895;988772;988437;
442;375;503;504;376;528;384;410;510;371;394;467;376;440;425;402;475;472;415;470;441;377;454;410;434;481;382;383;508;377;376;512;411;368;548;399;395;464;374;474;536;392;460;419;378;527;469;379;447;406;
11097;11222;10898;11125;11645;11270;11376;11023;11196;11191;11053;11302;11375;11172;11111;11400;10897;11282;11218;11309;11088;11426;10955;10899;11164;11119;10955;11201;11163;11351;11126;11328;10997;11591;11006;11285;11161;11642;11322;11165;11291;11085;11349;11095;11180;11178;11218;10968;10921;11265;
62204;62985;62424;62636;62907;62598;62573;62038;62933;62413;62625;62548;62366;61620;63333;62615;62321;62156;63576;62095;62638;62005;62538;62407;62175;62741;62265;62890;62855;61832;62755;61566;62432;63350;62884;62332;62784;62923;62236;62455;62502;63212;62392;62670;61853;62350;61870;62460;62159;62840;
