25;34;30;48;36;31;29;29;26;41;28;28;25;21;24;28;27;28;24;24;24;27;35;23;27;23;25;19;22;25;22;32;25;29;21;23;26;25;24;21;21;26;22;25;20;25;26;20;21;25;
326;318;327;324;316;318;310;326;316;327;319;314;310;315;328;319;325;311;323;325;322;312;307;313;316;314;324;347;317;311;322;318;330;323;321;320;309;318;316;322;310;317;313;319;330;307;314;318;326;318;
1549;1520;1562;1517;1562;1530;1537;1540;1527;1513;1552;1535;1535;1535;1565;1527;1539;1559;1565;1560;1536;1561;1534;1572;1554;1518;1540;1571;1535;1532;1536;1559;1554;1546;1530;1566;1588;1545;1541;1549;1543;1548;1557;1530;1555;1524;1530;1511;1525;1497;
4709;4659;4674;4727;4741;4699;4693;4739;4734;4717;4738;4725;4734;4718;4644;4646;4730;4696;4699;4679;4696;4673;4689;4711;4665;4739;4637;4639;4696;4701;4704;4743;4671;4741;4684;4669;4603;4725;4690;4724;4634;4756;4731;4714;4658;4626;4675;4634;4640;4586;
11200;11201;11207;11316;11162;11229;11061;11103;11219;11035;11204;11370;11210;11177;11056;11005;11082;11056;11084;11046;11018;11063;11071;11292;11293;11073;11122;10915;11146;10969;11006;11140;11239;11060;11127;11041;11010;11049;11057;11170;11234;10999;10975;10897;10959;11098;11223;11246;11238;11006;
22622;22596;22322;22626;22488;22503;22565;22386;22424;22518;22478;22445;22611;22354;22307;22577;22403;22360;22477;22501;22308;22495;22353;22667;22257;22328;22361;22204;22400;22327;22312;22423;22215;22250;22318;22553;22264;22301;22234;22254;22274;22151;22191;22160;22189;22158;22279;22210;22297;22117;
40821;40742;40721;40838;40685;40406;40838;40814;40713;40591;40523;40413;40381;40449;40687;40577;40956;40596;40529;40697;40447;40412;40579;40371;40467;41034;40543;40681;40537;40602;40455;40720;40358;40578;40785;40402;40730;40518;40550;40332;40503;40775;40361;40494;40225;40329;40412;40383;40549;40783;
45;47;38;41;45;46;43;42;49;46;44;48;44;38;46;45;39;48;46;46;45;42;42;43;46;39;45;43;45;41;43;44;38;53;42;42;39;41;42;45;47;43;41;48;44;48;47;48;43;44;
610;613;575;631;552;607;563;593;597;556;611;567;600;588;581;560;570;609;588;687;625;590;586;590;621;595;637;557;620;587;622;608;611;579;655;567;634;573;608;575;601;571;607;591;596;568;594;571;605;579;
2887;2899;2893;2935;2896;2903;2921;2916;2910;2855;2874;2995;2871;2893;2865;2884;2868;2971;2906;2843;2862;2871;2888;2910;2851;2871;2872;2891;2902;2926;2863;2899;2922;2864;2828;2959;2897;2881;2885;2866;2882;2904;2901;2899;2940;2869;2900;2865;2843;2905;
8910;8996;8943;8994;8922;8782;8782;8895;8882;8935;8909;8927;8848;8910;9071;8885;8794;8818;8855;8868;8822;8869;8877;8856;8926;8861;8971;8795;9021;8834;8807;9023;8881;8848;8861;9058;8846;8815;8925;9025;8812;8894;8972;8859;8849;9059;8931;8918;8896;8884;
21436;21617;21125;21464;21374;21387;21406;21518;21546;21516;21417;21313;21408;21492;21412;21294;21321;21654;21421;21304;21404;21346;21263;21457;21503;21370;21380;21407;21417;21499;21366;21156;21248;21055;21362;21320;21321;21342;21287;21223;21296;21521;21478;21289;21346;21139;21300;21350;21220;21176;
44161;43745;43507;43848;43821;43618;43612;43911;43736;43719;43764;43412;43751;43896;43565;43447;43371;43719;43581;43640;43436;43804;43591;43793;43796;43511;43608;43562;43696;43652;43200;43390;43799;43418;43334;43726;43407;43557;43489;43751;43889;43723;43282;43595;43362;43689;43676;43414;43498;44655;
79751;79777;79936;79946;79913;79945;79831;80078;79974;80121;79812;80280;79625;80408;79874;80091;79776;80170;80439;80071;80217;79818;79815;79619;80085;79642;80163;80039;80194;79632;79877;79681;79546;79703;79576;79721;79807;79767;80235;79903;79805;80340;79755;79887;80743;79838;79866;79740;80075;79905;
85;81;80;90;100;80;83;89;86;84;76;94;91;100;84;91;104;100;95;80;102;88;81;79;97;98;77;80;82;76;76;89;84;84;82;76;91;89;88;86;76;92;84;89;84;86;88;82;78;99;
1179;1197;1264;1168;1170;1193;1127;1126;1200;1112;1112;1205;1184;1137;1204;1200;1242;1170;1164;1139;1115;1116;1147;1137;1141;1172;1172;1093;1193;1220;1160;1180;1210;1224;1150;1132;1168;1420;1130;1151;1203;1183;1223;1118;1152;1175;1222;1190;1127;1147;
