313;253;303;311;299;250;242;288;252;273;218;207;180;201;188;202;186;189;217;206;206;239;236;214;208;215;184;199;228;219;183;198;188;187;192;191;189;198;184;184;175;179;186;182;189;194;184;175;181;196;
3215;3228;3201;3089;3126;3118;3095;3168;3076;3074;3048;3123;3152;3141;3103;3074;3133;3137;3070;3140;3063;3157;3088;3041;3067;3028;3143;3513;3113;3092;3135;3105;3076;3083;3164;3168;3195;3070;3108;3123;3153;3220;3026;3159;3250;3200;3187;3132;3116;3183;
15251;15166;15469;15469;15434;15540;15502;15658;15586;15454;15749;15635;15628;15856;15407;15565;15669;15846;15799;15530;15466;15600;15565;15587;15675;15544;15667;15755;15651;15512;15779;15621;15824;15928;15820;15528;15556;16011;16356;15711;15531;16235;16435;15672;15468;15330;15506;15740;15733;15775;
49579;49357;49631;49591;49662;49376;48729;49475;53603;50042;49749;50307;50062;50821;50093;50411;50904;50632;49514;50395;50292;50205;49210;50042;49358;50290;49249;50691;50519;49422;49795;49985;50158;50207;50159;50208;49356;49854;49372;50383;50467;50659;49854;50052;50244;49997;51544;50713;49994;50314;
127948;129263;130092;127429;128651;137922;126493;129104;129348;128266;127716;128889;128294;128280;129687;127626;127928;127521;128687;128084;128240;128043;128965;128261;127486;128852;129889;128638;128849;129984;128343;128247;128100;129659;128370;128687;129048;128183;129212;130143;128224;129543;129693;128506;129031;129739;129333;129432;129640;134842;
261775;256733;255562;256584;256016;255482;261215;258362;259728;260961;263822;264840;264032;263588;263624;271751;265625;265301;263842;263775;265093;264329;263937;264843;262991;262381;261335;262304;261728;261942;262050;262271;262897;261735;262850;264038;260980;261160;261608;261357;263353;261680;260857;260547;260577;258563;262602;260512;260110;260746;
504216;506805;505843;505150;503714;503801;506731;510862;508710;511235;510676;511861;515737;516404;513800;514560;515230;513705;514644;512055;512790;513641;516428;516975;518216;521566;519881;520289;520236;520047;528837;522616;521240;520669;522561;528042;522232;523474;521391;521063;519928;519328;521904;524143;520609;521318;521638;520768;519751;521058;
392;336;330;397;324;299;353;316;318;364;324;317;352;309;339;351;307;352;339;330;352;373;319;411;311;307;379;382;307;385;315;322;377;345;308;358;327;330;386;301;368;335;332;347;311;343;364;327;341;392;
5594;5623;5571;5716;5511;5484;5474;5641;5598;5613;5397;5568;5659;5650;5494;5619;5550;5777;5653;5640;5685;5551;5535;5737;5693;5574;5761;5730;5513;5522;5490;5608;5597;5791;5455;5669;5648;5839;5843;5786;5686;5796;5639;5700;5701;5649;5570;5702;5751;5594;
31517;31294;31055;30976;30884;30698;30858;30996;31034;32939;31471;30869;31448;31767;30855;31151;31785;31319;31264;31238;31461;31409;31687;31915;31703;31109;31464;31103;33964;31533;31476;31686;32226;31922;32062;31143;32006;33074;32211;31762;31567;32207;32381;32292;32454;32217;32418;32649;32240;32244;
100749;99545;101188;100553;100979;100703;100707;100664;100047;101658;100471;101542;100985;100991;102549;101157;101011;101022;100645;100179;100488;101810;102414;100408;99797;101143;100596;101153;101452;100919;100106;99469;101060;100901;99108;100891;100492;101084;100244;101031;101032;100825;100457;100789;100020;100617;101184;99866;100684;99415;
272447;273676;273062;272610;272889;270997;273645;270991;271328;272280;271987;271063;294772;271389;272003;270928;271781;272800;272281;269745;269952;272284;270373;270007;272904;270208;269945;271124;271196;272138;273016;270222;271593;268100;269384;269440;271148;270450;270048;269777;269391;272421;270436;270728;270062;270697;270316;271547;271463;272774;
537565;535387;535925;539802;539554;538531;539254;543607;544429;550240;549246;552419;556144;556598;555044;557942;554306;550687;556964;557412;552944;554428;550784;558670;548739;555001;547273;546812;548071;550475;549194;551399;553006;550223;551794;549802;548979;550624;549504;551434;551642;551960;549539;552206;561827;549579;550885;550098;550705;550853;
1006331;963554;961765;967449;980736;975541;972964;985576;981547;988842;1003614;994033;1005454;1006346;1032394;1021363;1056859;1037436;1058827;1078423;1031632;1028221;1025878;1097720;1031625;1020101;1030175;1030114;1048062;1024786;1050803;1030199;1037774;1046590;1086244;1075333;1027900;1075458;1048911;1041912;1034711;1061556;1043213;1049343;1113908;1048029;1062512;1122481;1039030;1060824;
866;881;787;933;865;875;893;821;792;725;792;789;749;855;927;877;745;775;828;858;835;833;845;826;972;958;789;824;737;689;685;730;763;826;735;703;831;785;781;788;735;747;684;711;835;786;748;802;716;741;
12567;12486;12716;12440;12337;12250;12377;12198;12977;12982;12039;12293;12422;12335;12637;12726;13073;12490;12321;12219;12458;12572;12677;12356;12417;12184;12344;12341;12560;12593;12617;12323;12207;12573;12241;12497;12688;13689;12384;12203;12576;12708;13380;12110;12216;12641;12781;12601;12467;12858;
66501;66430;67120;66439;67067;66779;66544;66877;66498;66926;66110;66655;69701;66507;67474;67082;66766;66410;66463;72205;66760;67085;66838;67159;67432;66635;66800;66921;67202;67245;66903;66837;67474;66537;65866;66124;66971;66347;66617;67285;67345;66362;66626;66933;67154;67322;66671;66531;67155;67165;
218514;217635;217622;219651;217474;218845;218463;219296;218922;218300;219177;219974;217331;217657;217623;218347;218549;218975;217868;218332;218241;218872;218038;231023;219990;218771;217218;218668;219179;220262;216381;220392;218271;222287;216333;221605;216798;219412;220319;217746;216681;222311;217233;221109;236106;222502;220087;221042;216416;223757;
743106;772815;735770;731706;722029;729766;756851;693256;745319;744401;754200;697977;750349;747700;752103;757289;730364;726676;771980;819958;827663;815532;811409;773512;764149;785462;786108;813293;793674;719964;785566;819643;748380;713566;732539;705679;733455;728319;725039;729561;758015;738341;767203;747378;720682;730507;742182;763927;751292;738104;
1100591;1153633;1116497;1102312;1108333;1071478;982437;1004673;1017465;1022730;1023726;1028493;1036208;1049792;1035000;1039319;1034853;1048535;1043305;1064620;1031043;1049504;1041167;1054652;1058488;1051344;1066988;1099847;1058114;1045592;1064994;1051764;1058077;1106073;1098670;1103913;1089685;1094458;1096458;1058654;1054982;1099512;1110386;1176252;1080763;1110849;1108204;1088112;1057447;1091532;
1634938;1635506;1714176;1851713;1885594;1938819;2072876;2156379;2307874;2353547;2427364;2528524;2564020;2629081;2666787;2696022;2735053;2738806;2766673;2792278;2762873;2792419;2827264;2856362;2835506;2851776;2859131;2875009;2868281;2855519;2848600;2878023;2899304;2885887;2918970;2896232;2900106;2902833;2921609;2916279;2942444;2943577;2958065;2974841;2998877;3015073;2983819;3016179;3002872;3017309;
